file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS_M0202_0361_2763127_to_2765159,མི་ཚང་མ་ཡིས་ག་རེ་བསམ་གི་ཡོད་རེད་ལབ་ན་ང་ཚོ་ ,mi tshang ma yis ga re bsam gi yod red lab na nga tsho _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0202_0361_2763127_to_2765159.wav,STT_NS,3,43,2.032,wav16k/STT_NS_M0202_0361_2763127_to_2765159.wav,མི་ཚང་མ་ཡིས་ག་རེ་བསམ་གི་ཡོད་རེད་ལབ་ན་ང་ཚོ།
STT_TT00035_10558.450-10559.600,འདོད་ཆགས་དང་བྲལ་བ་དང་། ཐུན་མོང་དང་།  ,'dod chags dang bral ba dang /_thun mong dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00035_10558.450-10559.600.wav,STT_TT,3,37,1.1499999999996362,wav16k/STT_TT00035_10558.450-10559.600.wav,འདོད་ཆགས་དང་ཞྟོ་དང་གཏི་མུག་ལ།
STT_NS_M0188_0058_598309_to_600474,ཟུར་ལ་ལས་ཀ་བྱས་ནས་པེ་ཤ་བསགས་རྒྱོ་དེ་ཚོ་གི་ ,zur la las ka byas nas pe sha bsags rgyo de tsho gi _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0188_0058_598309_to_600474.wav,STT_NS,3,43,2.165,wav16k/STT_NS_M0188_0058_598309_to_600474.wav,ཟུར་ལ་ལས་ཀ་བྱས་ནས་པེ་ཤག་བསགས་རྒྱོ་དེ་ཚོ་གིས་
STT_TT00629_0079_447341_to_450061,ད་ཆོས་ཕྱོགས་ཀི་བྱ་བ་སྒྲུབ་ངེ་དེ་ད། བསྟན་པ་མར་ཉམས་འགྲོ་བའི་སྐབས་ལ།  ,da chos phyogs ki bya ba sgrub nge de da/_bstan pa mar nyams 'gro ba'i skabs la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00629_0079_447341_to_450061.wav,STT_TT,3,67,2.72,wav16k/STT_TT00629_0079_447341_to_450061.wav,ད་ཆོས་ཕྱོགས་ཀི་བྱ་བ་སྒྲུབ་ངེ་དེ། ད་བསྟན་པ་མར་ཉམས་འགྲོ་བའི་སྐབས་ལ།
STT_NS_M0198_0197_1526322_to_1528626,མི་ཚེ་དཔེ་དཀའ་ལས་ཁག་པོ་རེད་ཤག་ཡོད་བ།  ,mi tshe dpe dka' las khag po red shag yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0198_0197_1526322_to_1528626.wav,STT_NS,3,38,2.304,wav16k/STT_NS_M0198_0197_1526322_to_1528626.wav,མི་ཚེ་དཔེ་དཀའ་ལས་ཁག་པོ་རེད་ཤག་ཡོད་བ།
STT_TT00042_00304.300-00305.750,འཆི་ཁ་ལ་མོ་ལ་ཡ་དགེ་སེམས།  ,'chi kha la mo la ya dge sems/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00042_00304.300-00305.750.wav,STT_TT,3,26,1.4499999999999886,wav16k/STT_TT00042_00304.300-00305.750.wav,འཆི་ཁ་ལ་མོ་ལ་ཡ་དགེ་སེམས།
STT_TT00044_01697.050-01698.700,དེ་འདྲའི་གི་ནོར་འཁྲུལ།  ,de 'dra'i gi nor 'khrul/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00044_01697.050-01698.700.wav,STT_TT,3,24,1.650000000000091,wav16k/STT_TT00044_01697.050-01698.700.wav,དེ་འདྲའི་གི་ནོར་འཁྲུལ།
STT_TT00423_336.250-338.900,ད་ང་ཚོ་ཨ་ལེ་མི་ལས་ཨོ་འདུག་སེ་གསུངས་ཤོག་ཨ། སོ་སོ་ལ་དེ་འདྲས་རེད་འདུག་ག ,da nga tsho a le mi las o 'dug se gsungs shog a/_so so la de 'dras red 'dug ga_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00423_336.250-338.900.wav,STT_TT,3,69,2.6499999999999773,wav16k/STT_TT00423_336.250-338.900.wav,ད་ང་ཚོ་ཨ་ལེ། མི་ལས་ཨོ་འདུག་སེ་གསུངས་ཤོག་ཨ། སོ་སོ་ལ་དེ་འདྲའི་རེད་འདུག་ག།
STT_NS_M0220_0064_815573_to_817605,ཁྱོད་དང་ང་དང་ཁྱོད་ང་དང་ཁྱོད་ཟེར་ནས་འདི་བྱས་ནས་ ,khyod dang nga dang khyod nga dang khyod zer nas 'di byas nas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0220_0064_815573_to_817605.wav,STT_NS,3,47,2.032,wav16k/STT_NS_M0220_0064_815573_to_817605.wav,ཁྱོད་དང་ང་དང་ཁྱོད་ང་དང་ཁྱོད་ཟེར་འདི་བྱས་ནས།
STT_TT00044_03450.800-03452.000,དགའ་རོ་ཅིག་ཕལ་ཆེར།  ,dga' ro cig phal cher/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00044_03450.800-03452.000.wav,STT_TT,3,20,1.199999999999818,wav16k/STT_TT00044_03450.800-03452.000.wav,དགའ་རོ་ཅིག་ཕལ་ཆེར།
STT_TT00036_00296.100-00296.850,སེམས་ཅན།  ,sems can/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00036_00296.100-00296.850.wav,STT_TT,3,10,0.75,wav16k/STT_TT00036_00296.100-00296.850.wav,སེམས་ཅན།
STT_TT00521_0202_1249820_to_1251988,སྐྱེས་གནས་ཡོངས་འབྲུ་ཙམ་གྱི་ནང་དུ་རྟེན་དང་རྟེན་པའི་དཀྱིལ་འཁོར།  ,skyes gnas yongs 'bru tsam gyi nang du rten dang rten pa'i dkyil 'khor/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00521_0202_1249820_to_1251988.wav,STT_TT,3,63,2.168,wav16k/STT_TT00521_0202_1249820_to_1251988.wav,བསྐྱེད་རིམ་ཡོངས་གྲུབ་ཙམ་གྱི་ནང་དུ། རྟེན་དང་བརྟེན་པའི་དཀྱིལ་འཁོར།
STT_TT00423_167.850-170.100,དེ་བས་ཇི་ལྟར་ཆུང་ངུ་ན། མི་སྙན་ལས་ཀྱང་ ,de bas ji ltar chung ngu na/_mi snyan las kyang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00423_167.850-170.100.wav,STT_TT,3,38,2.25,wav16k/STT_TT00423_167.850-170.100.wav,དེ་བས་ཇི་ལྟར་ཆུང་ངུ་ན། མི་སྙན་ལས་ཀྱང་།
